ts_utc,cpu_tempC,disk_free_bytes,throttled
2026-03-03T12:34:14.569+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:34:24.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:34:34.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:34:44.569+00:00,40.08,235186774016,throttled=0x0
2026-03-03T12:34:54.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:35:04.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:35:14.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:35:24.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:35:34.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:35:44.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:35:54.569+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:36:04.569+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:36:14.569+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:36:24.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:36:34.569+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:36:44.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:36:54.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:37:04.569+00:00,40.08,235186774016,throttled=0x0
2026-03-03T12:37:14.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:37:24.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:37:34.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:37:44.569+00:00,40.08,235186774016,throttled=0x0
2026-03-03T12:37:54.570+00:00,40.08,235186774016,throttled=0x0
2026-03-03T12:38:04.569+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:38:14.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:38:24.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:38:34.570+00:00,39.55,235186774016,throttled=0x0
2026-03-03T12:38:44.570+00:00,39.01,235186774016,throttled=0x0
2026-03-03T12:38:54.569+00:00,40.08,235186774016,throttled=0x0
2026-03-03T12:39:04.569+00:00,39.01,235186769920,throttled=0x0
2026-03-03T12:39:14.569+00:00,39.55,235186769920,throttled=0x0
2026-03-03T12:39:24.570+00:00,39.55,235186769920,throttled=0x0
2026-03-03T12:39:34.569+00:00,39.55,235186769920,throttled=0x0
2026-03-03T12:39:44.569+00:00,39.01,235186769920,throttled=0x0
2026-03-03T12:39:54.570+00:00,39.01,235186769920,throttled=0x0
2026-03-03T12:40:04.570+00:00,39.01,235186769920,throttled=0x0
2026-03-03T12:40:14.569+00:00,39.01,235186769920,throttled=0x0
2026-03-03T12:40:24.570+00:00,39.01,235186769920,throttled=0x0
2026-03-03T12:40:34.569+00:00,39.01,235186769920,throttled=0x0
2026-03-03T12:40:44.570+00:00,39.01,235186769920,throttled=0x0
2026-03-03T12:40:54.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:41:04.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:41:14.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:41:24.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:41:34.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:41:44.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:41:54.570+00:00,39.55,235186765824,throttled=0x0
2026-03-03T12:42:04.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:42:14.570+00:00,39.55,235186765824,throttled=0x0
2026-03-03T12:42:24.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:42:34.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:42:44.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:42:54.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:43:04.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:43:14.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:43:24.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:43:34.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:43:44.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:43:54.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:44:04.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:44:14.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:44:24.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:44:34.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:44:44.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:44:54.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:45:04.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:45:14.570+00:00,38.47,235186765824,throttled=0x0
2026-03-03T12:45:24.570+00:00,40.08,235186765824,throttled=0x0
2026-03-03T12:45:34.570+00:00,39.55,235186765824,throttled=0x0
2026-03-03T12:45:44.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:45:54.570+00:00,39.55,235186765824,throttled=0x0
2026-03-03T12:46:04.569+00:00,40.08,235186765824,throttled=0x0
2026-03-03T12:46:14.569+00:00,40.08,235186765824,throttled=0x0
2026-03-03T12:46:24.570+00:00,39.55,235186765824,throttled=0x0
2026-03-03T12:46:34.570+00:00,40.08,235186765824,throttled=0x0
2026-03-03T12:46:44.570+00:00,39.55,235186765824,throttled=0x0
