ts_utc,bmp_tempC_mean,bmp_pressurePa_mean,bmp_pressure_hPa,smq_tempC_interp,smq_mslp_hPa_interp,temp_diff_C,pressure_diff_hPa,session,run_label,run_date
2026-03-15 18:40:00+00:00,25.6741,102773.431,1027.73431,5.555555555555555,1028.8166666666666,20.118544444444446,-1.0823566666665556,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 18:50:00+00:00,25.76563,102741.197,1027.41197,5.555555555555555,1028.6499999999999,20.210074444444444,-1.2380299999997533,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 19:00:00+00:00,25.687990000000003,102712.908,1027.12908,5.472813238770685,1028.5183333333332,20.215176761229316,-1.3892533333332722,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 19:10:00+00:00,25.705130000000004,102707.371,1027.07371,5.3546099290780145,1028.4016666666666,20.350520070921988,-1.3279566666667506,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 19:20:00+00:00,25.750911111111108,102740.8777777778,1027.408777777778,5.236406619385343,1028.285,20.514504491725766,-0.8762222222221681,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 19:30:00+00:00,25.44806,102732.297,1027.3229700000002,5.118203309692671,1028.1683333333333,20.32985669030733,-0.8453633333331254,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 19:40:00+00:00,25.23387,102728.572,1027.28572,5.0,1028.0516666666667,20.23387,-0.7659466666666503,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 19:50:00+00:00,25.10222,102722.028,1027.22028,5.0,1027.9350000000002,20.10222,-0.7147200000001703,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 20:00:00+00:00,24.99643,102691.926,1026.9192600000001,5.0,1027.8066666666668,19.99643,-0.8874066666667204,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 20:10:00+00:00,24.87755,102686.595,1026.86595,5.0,1027.6733333333334,19.87755,-0.8073833333332914,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 20:20:00+00:00,24.81166,102666.083,1026.66083,5.0,1027.54,19.81166,-0.879169999999931,39,Run 3 (2026-03-11),2026-03-11
