n_bins,end_ts_utc,elapsed_days,joint_p_value,amp_pct
1760,2026-03-20 04:50:00+00:00,19.194444444444443,0.627141984303186,0.2845369446703309
1784,2026-03-20 08:50:00+00:00,19.36111111111111,0.47261038000759625,0.354327002639123
1808,2026-03-20 20:00:00+00:00,19.82638888888889,0.350755202646213,0.41986307170537845
1832,2026-03-21 00:00:00+00:00,19.993055555555557,0.3461052444732109,0.4217117146944765
1856,2026-03-21 04:00:00+00:00,20.15972222222222,0.3611037155817998,0.4110693054682956
1880,2026-03-21 08:00:00+00:00,20.32638888888889,0.3375176610531068,0.4154239113248382
1904,2026-03-21 12:00:00+00:00,20.493055555555557,0.4106749159215951,0.3663967612612605
1928,2026-03-21 16:00:00+00:00,20.65972222222222,0.400559323736669,0.37100551015354677
1952,2026-03-21 20:00:00+00:00,20.82638888888889,0.3597874293992462,0.3850374524655988
1976,2026-03-22 00:00:00+00:00,20.993055555555557,0.3424268809885333,0.3887715725378091
2000,2026-03-22 04:10:00+00:00,21.166666666666668,0.3183416425354668,0.40577210486224075
2024,2026-03-22 08:10:00+00:00,21.333333333333332,0.3286042935952914,0.3991791182729514
2048,2026-03-22 12:10:00+00:00,21.5,0.33676467650734265,0.3944292978631066
2072,2026-03-22 16:10:00+00:00,21.666666666666668,0.36484378215267993,0.3815143106033551
2096,2026-03-22 20:10:00+00:00,21.833333333333332,0.24911695753914057,0.4366062552237639
2120,2026-03-23 00:10:00+00:00,22.0,0.22366059505789648,0.44389692390236796
2144,2026-03-23 04:10:00+00:00,22.166666666666668,0.16797767504471878,0.4919948434324511
2168,2026-03-23 08:10:00+00:00,22.333333333333332,0.1881006239179199,0.4768005224679725
2192,2026-03-23 12:10:00+00:00,22.5,0.15735166306386128,0.49735286407784896
2216,2026-03-23 16:10:00+00:00,22.666666666666668,0.16371013030013723,0.49025474553887505
2240,2026-03-23 20:10:00+00:00,22.833333333333332,0.124897676394643,0.5190710316980581
2264,2026-03-24 00:10:00+00:00,23.0,0.11909564690619794,0.5116424375238398
2288,2026-03-24 04:10:00+00:00,23.166666666666668,0.11232261959828979,0.5169709129870378
2312,2026-03-24 08:10:00+00:00,23.333333333333332,0.10745154542716694,0.5194036369273439
2336,2026-03-24 12:10:00+00:00,23.5,0.11828612917693805,0.5058331188266281
2360,2026-03-24 16:10:00+00:00,23.666666666666668,0.12043609916024808,0.5013164727427983
2384,2026-03-24 20:10:00+00:00,23.833333333333332,0.10608952582505522,0.5134522848979102
2408,2026-03-25 00:10:00+00:00,24.0,0.07532442893656226,0.5432414288139348
2432,2026-03-25 04:10:00+00:00,24.166666666666668,0.09438837307206091,0.5189913955246395
2456,2026-03-25 08:10:00+00:00,24.333333333333332,0.06003011395464248,0.5651363375051713
2480,2026-03-25 12:10:00+00:00,24.5,0.07551501986348194,0.5386531523968255
2504,2026-03-25 16:10:00+00:00,24.666666666666668,0.08475224830085054,0.53008209179055
2528,2026-03-25 20:10:00+00:00,24.833333333333332,0.060180844283795124,0.5598496307415429
2552,2026-03-26 00:10:00+00:00,25.0,0.1011610352307725,0.5025714629190113
2576,2026-03-26 04:10:00+00:00,25.166666666666668,0.12943749835238247,0.4711610731062156
2600,2026-03-26 08:10:00+00:00,25.333333333333332,0.12788824808293264,0.46814945648714096
2624,2026-03-26 12:10:00+00:00,25.5,0.14592527775761746,0.4495586785763901
2648,2026-03-26 16:10:00+00:00,25.666666666666668,0.13844949288742217,0.45904929997601607
2672,2026-03-26 20:10:00+00:00,25.833333333333332,0.16714160449700813,0.43566974834183725
2696,2026-03-27 00:10:00+00:00,26.0,0.25216999255104106,0.3837770587020816
2720,2026-03-27 04:10:00+00:00,26.166666666666668,0.25477044203372856,0.38048272373714076
2744,2026-03-27 08:10:00+00:00,26.333333333333332,0.23004552982714477,0.39514941917744384
2768,2026-03-27 12:10:00+00:00,26.5,0.18250117265877136,0.4221830827105644
2792,2026-03-27 16:10:00+00:00,26.666666666666668,0.15242106157135638,0.44560079953738474
2816,2026-03-27 20:10:00+00:00,26.833333333333332,0.15264050443691296,0.44500842555469394
2840,2026-03-28 00:10:00+00:00,27.0,0.14100295113009015,0.4512883479122536
2864,2026-03-28 04:10:00+00:00,27.166666666666668,0.14080033210572235,0.4493377911838093
2888,2026-03-28 08:10:00+00:00,27.333333333333332,0.15168526134291427,0.4401927532970472
2912,2026-03-28 12:10:00+00:00,27.5,0.12004844640457332,0.4638794370419513
2936,2026-03-28 16:10:00+00:00,27.666666666666668,0.1268242259343141,0.45573626906117837
2960,2026-03-28 20:10:00+00:00,27.833333333333332,0.1296915817040898,0.45125994079861587
2984,2026-03-29 00:10:00+00:00,28.0,0.08481195584710075,0.4956099971695097
