window_start_utc,window_end_utc,n_samples,bmp_tempC_mean,bmp_pressurePa_mean,bmp_altitudeM_est_mean
2026-03-12T03:03:01.884+00:00,2026-03-12T03:04:02.880+00:00,61,28.5636,100246.82,90.1241
2026-03-12T03:04:02.882+00:00,2026-03-12T03:05:03.884+00:00,61,28.5747,100248.82,89.9523
2026-03-12T03:05:03.885+00:00,2026-03-12T03:06:04.880+00:00,61,28.5762,100252.48,89.6533
2026-03-12T03:06:04.882+00:00,2026-03-12T03:07:05.883+00:00,61,28.5743,100265.41,88.5631
2026-03-12T03:07:05.886+00:00,2026-03-12T03:08:06.883+00:00,61,28.5725,100292.07,86.3353
2026-03-12T03:08:06.886+00:00,2026-03-12T03:09:07.882+00:00,61,28.5643,100317.66,84.2293
2026-03-12T03:09:07.884+00:00,2026-03-12T03:10:08.882+00:00,61,28.5535,100327.07,83.3188
2026-03-12T03:10:08.884+00:00,2026-03-12T03:11:09.880+00:00,61,28.5402,100330.60,83.0307
2026-03-12T03:11:09.882+00:00,2026-03-12T03:12:10.881+00:00,61,28.5305,100331.91,82.9610
2026-03-12T03:12:10.883+00:00,2026-03-12T03:13:10.888+00:00,60,28.5222,100332.90,82.8601
2026-03-12T03:13:10.890+00:00,2026-03-12T03:14:11.883+00:00,61,28.5174,100333.71,82.7494
2026-03-12T03:14:11.885+00:00,2026-03-12T03:15:12.881+00:00,61,28.5145,100332.22,82.8950
2026-03-12T03:15:12.883+00:00,2026-03-12T03:16:13.881+00:00,61,28.5155,100334.99,82.6800
2026-03-12T03:16:13.883+00:00,2026-03-12T03:17:13.944+00:00,60,28.5155,100335.38,82.6630
2026-03-12T03:17:13.946+00:00,2026-03-12T03:18:14.878+00:00,61,28.5152,100333.99,82.7497
2026-03-12T03:18:14.880+00:00,2026-03-12T03:19:15.882+00:00,61,28.5187,100335.85,82.6004
2026-03-12T03:19:15.884+00:00,2026-03-12T03:20:16.881+00:00,61,28.5215,100336.70,82.5049
2026-03-12T03:20:16.883+00:00,2026-03-12T03:21:17.881+00:00,61,28.5257,100330.65,83.0499
2026-03-12T03:21:17.883+00:00,2026-03-12T03:22:17.884+00:00,60,28.5254,100330.09,83.1010
2026-03-12T03:22:17.886+00:00,2026-03-12T03:23:18.881+00:00,61,28.5236,100326.56,83.3637
